"","Timestamp","Entering.Grade.Level","District","Birth.Month","OLSAT.Verbal.Score","OLSAT.Verbal.Percentile","NNAT.Non.Verbal.Raw.Score","NNAT.Non.Verbal.Percentile","Overall.Score"
"163","3/28/18","K","13","May",24,88,43,99,96
"164","3/31/18","K","3","August",24,87,47,99,96
"165","4/9/18","K","2","December",19,93,31,98,96
"166","6/5/18","K","13","April",20,90,39,99,96
"167","3/27/18","1","2","April",18,84,39,99,95
"168","3/27/18","1","2","June",20,91,34,97,95
"169","3/27/18","1","2","May",22,94,34,96,95
"170","3/27/18","K","26","September",24,93,37,96,95
"171","3/28/18","K","3","November",16,84,33,99,95
"172","3/27/18","1","2","February",22,94,39,99,94
"173","3/27/18","1","2","November",15,79,35,99,94
"174","3/27/18","1","2","February",23,96,33,92,94
"175","3/27/18","K","20","March",24,79,44,99,94
"176","3/27/18","K","20","June",27,99,26,79,94
"177","3/28/18","K","2","August",19,90,32,96,94
"178","1/19/21","K","6","August",15,75,33,98,91
"179","3/27/18","1","2","December",10,48,31,98,84
"180","3/27/18","1","2","July",19,89,24,71,81
"181","3/27/18","1","2","August",13,62,29,91,79
